timestamp,ticker,price,score,w_spread,st_spread
2026-06-23 14:13,FICO,1094.27,0,27.36,3.08
2026-06-23 14:13,ROL,44.6,0,13.61,6.43
2026-06-23 14:13,CTAS,168.17,0,10.66,4.23
2026-06-23 14:13,CPRT,29.6,0,24.46,4.75
2026-06-23 14:13,ADP,219.1,2,16.08,2.59
2026-06-23 14:13,PAYX,97.82,2,15.75,2.07
2026-06-23 14:13,EFX,153.17,0,27.5,7.78
2026-06-23 14:13,TRI,80.0,0,47.3,3.18
2026-06-23 14:13,IHS,8.22,2,9.31,0.51
2026-06-23 14:13,VRSK,174.13,0,23.26,4.11
2026-06-23 14:13,IT,128.97,0,47.62,3.32
2026-06-23 14:13,MU,1057.55,4,42.35,19.86
2026-06-23 14:13,MPWR,1410.44,3,32.51,13.88
2026-06-23 14:13,MRVL,278.46,4,39.06,22.17
2026-06-23 14:13,ITW,263.11,3,3.21,3.21
2026-06-23 14:13,ROP,328.44,0,25.84,1.9
2026-06-23 14:13,SYK,309.66,1,14.78,6.99
2026-06-23 14:13,BSX,45.28,0,69.93,19.52
2026-06-23 14:13,AMZN,235.38,2,10.83,9.07
2026-06-23 14:13,APP,471.05,2,12.34,7.26
2026-06-23 14:13,MTD,1149.14,0,13.07,5.58
2026-06-23 14:13,MANH,131.51,0,23.81,1.28
2026-06-23 14:13,FAST,45.84,4,3.51,0.91
2026-06-23 14:13,MNST,93.29,4,13.06,5.2
2026-06-23 14:13,POOL,196.06,1,26.94,5.54
2026-06-23 14:13,NVR,6416.62,1,16.64,5.82
2026-06-23 14:13,DHI,157.01,4,2.45,0.7
2026-06-23 14:13,LEN,87.66,0,23.83,5.9
2026-06-23 14:13,TOL,151.98,4,2.84,1.22
2026-06-23 14:13,DOCS,20.79,0,102.2,5.84
2026-06-23 14:13,MKTX,118.36,0,28.37,17.59
2026-06-23 14:13,ACGL,93.61,3,1.94,1.74
2026-06-23 14:13,CHD,96.17,3,4.88,1.23
2026-06-23 14:13,CL,91.66,4,5.26,0.3
2026-06-23 14:13,HSY,178.31,1,7.89,7.89
2026-06-23 14:13,TJX,165.16,4,5.68,0.2
2026-06-23 14:13,GIS,34.67,1,24.78,8.24
2026-06-23 14:13,NFLX,73.33,0,21.48,5.69
2026-06-23 14:13,LULU,109.22,0,42.9,19.79
2026-06-23 14:13,WSM,226.28,4,2.96,1.84
2026-06-23 14:13,KMB,103.21,2,7.7,0.92
2026-06-23 14:13,VRTX,470.21,4,2.71,1.89
2026-06-23 14:13,DECK,104.57,1,3.51,0.49
2026-06-23 14:13,HWM,276.27,4,14.84,2.55
2026-06-23 14:13,FSLR,252.74,4,9.06,9.06
2026-06-23 14:13,DUOL,132.95,2,65.48,5.1
2026-06-23 14:13,PLAB,31.67,1,31.39,4.02
2026-06-23 14:13,WPM,117.57,1,12.73,6.38
2026-06-23 14:13,NEM,98.02,1,14.58,3.92
2026-06-23 14:13,CCJ,109.17,2,11.79,0.94
2026-06-23 14:13,VRSN,248.08,1,10.89,7.81
2026-06-23 14:13,CRDO,269.14,4,25.24,19.09
2026-06-23 14:13,MTSI,369.9,4,38.22,15.75
2026-06-23 14:13,SLDE,17.38,2,4.82,0.01
2026-06-23 14:13,SEZL,147.61,4,23.08,15.86
2026-06-23 14:13,INCY,105.08,4,4.94,1.45
2026-06-23 14:13,UTHR,546.53,3,15.89,3.09
2026-06-23 14:13,EQT,51.35,0,6.24,6.24
2026-06-23 14:13,RRC,36.44,0,8.39,3.35
2026-06-23 14:13,CTRA,32.56,3,19.76,8.03
2026-06-23 14:13,CF,102.88,2,18.03,0.59
2026-06-23 14:13,LIN,514.77,4,8.11,1.58
2026-06-23 14:13,ETN,408.61,4,9.51,4.24
2026-06-23 14:13,HEI,335.35,4,2.89,1.51
2026-06-23 14:13,CW,777.05,4,16.0,3.04
2026-06-23 14:13,BWXT,213.45,4,7.22,0.83
2026-06-23 14:13,TW,99.55,0,8.25,7.77
2026-06-23 14:13,ALAB,398.67,4,27.97,21.47
2026-06-23 14:13,UBER,70.19,0,14.68,0.45
2026-06-23 14:13,ABNB,139.83,4,5.47,2.93
2026-06-23 14:13,ANET,163.38,4,11.93,7.13
2026-06-23 14:13,SCHW,93.07,3,4.54,1.86
2026-06-23 14:13,IBKR,95.67,4,15.67,8.39
2026-06-23 14:13,KRYS,342.19,4,21.22,6.75
2026-06-23 14:13,NBIX,162.85,4,7.55,7.28
2026-06-23 14:13,HOOD,103.87,4,21.43,5.97
2026-06-23 14:13,PLTR,118.12,0,18.83,2.8
2026-06-23 14:13,AXON,435.67,1,34.07,3.99
2026-06-23 14:13,MELI,1595.78,0,21.58,3.53
2026-06-23 14:13,ARM,370.29,4,36.55,23.12
2026-06-23 14:13,SNOW,232.26,4,11.83,7.2
2026-06-23 14:13,BILL,32.24,0,26.28,7.19
2026-06-23 14:13,MDB,321.32,3,11.4,5.08
2026-06-23 14:13,NET,227.75,4,7.45,5.61
2026-06-23 14:13,HUBS,175.94,0,79.91,11.87
2026-06-23 14:13,TEAM,82.15,1,56.62,9.73
2026-06-23 14:13,MKC,47.26,0,27.83,11.72
2026-06-23 14:13,DPZ,285.83,0,26.06,10.37
2026-06-23 14:13,GEV,1049.9,4,26.37,7.85
2026-06-23 14:13,CEG,273.9,0,12.57,2.51
